channel_id	title	tags	country	default_language	videoCount	viewCount	subscriberCount	thumbnail
UC_OtnV-9QZmBj6oWBelMoZw	insaneintherainmusic	['Music', 'Jazz']	US	NA	463	70349154	328000	https://yt3.ggpht.com/a/AATXAJwSqbbrFehKSCbeFQ3Qd9xaHtoYLwBW7pR7x8yn3w=s800-c-k-c0x00ffffff-no-rj-mo
UClw8Huc_XZcz46GJh5Z0wuA	Brendan Kavanagh	['Jazz', 'Classical music', 'Music', 'Performing arts']	GB	en-GB	1323	616564184	1330000	https://yt3.ggpht.com/a/AATXAJwQaANbSR6FlTh6WCYjT8AJi9XkGYbdtaaGtZIQpw=s800-c-k-c0x00ffffff-no-rj
UCGW-Pf2Tzy4lnbVc1HW_m3A	JavaJazzFest	['Music', 'Jazz']	ID	NA	481	120679415	380000	https://yt3.ggpht.com/a/AATXAJw7XTf6z_rmlWCe8LPeSRo177iW9DcmaTs0NIYW=s800-c-k-c0x00ffffff-no-rj
UC9vGD_KFNiQOHSeUoxIM3yQ	SadeVEVO	['Pop music', 'Jazz', 'Music']	NA	en	160	815778045	511000	https://yt3.ggpht.com/a/AATXAJyQE9IgOVyUdJiNYpFaF_K4XQ09XdTh72pzISDE=s800-c-k-c0x00ffffff-no-rj-mo
UCjvZB8bh7MtsVFS7m-pEzuw	Sony Music Entertainment Indonesia	['Pop music', 'Jazz', 'Music']	ID	NA	967	1133345766	1310000	https://yt3.ggpht.com/a/AATXAJw6ADNBodwsNdeAFixdfliulu4ZnwiKl_gjMld2ZQ=s800-c-k-c0x00ffffff-no-rj
UCtmY49Zn4l0RMJnTWfV7Wsg	Jacob Collier	['Music', 'Jazz']	NA	NA	102	60098718	694000	https://yt3.ggpht.com/a/AATXAJwh3pZi2UvA_0kauya1UFOqkuB_EovQXMciKhBmhA=s800-c-k-c0x00ffffff-no-rj-mo
UCPl2RYo0lLLqj8RaEADYclg	GroundUP Music NYC	['Jazz', 'Music']	US	NA	262	131377006	294000	https://yt3.ggpht.com/a/AATXAJxUTNul6tTckfAtgJOv52vYQDKN8fZYArBeQI4PlA=s800-c-k-c0x00ffffff-no-rj
UCfy5pDNFUIpyXiqKn-CB2gg	Yuki Matsui / 松井祐貴	['Music']	JP	NA	85	34632286	163000	https://yt3.ggpht.com/a/AATXAJx6sQNGeyowyzq1E4N5T0jDZHjeG7lKlTih7ZsmPA=s800-c-k-c0x00ffffff-no-rj
UCnjQCcLxBqelGn0sForpAqA	Jonny May	['Jazz', 'Pop music', 'Music']	US	NA	141	50089881	294000	https://yt3.ggpht.com/a/AATXAJyC8GRL48WAMTQOLRYyDEpVTwLs22pUrVQUuzQq=s800-c-k-c0x00ffffff-no-rj
UCEXDaXzYhqYdLCQ3Ce7U2Og	Quist	['Music', 'Jazz']	US	NA	986	114914874	205000	https://yt3.ggpht.com/a/AATXAJxPiYrapLkFlyKpVDjTnEIAw6mVrvOhKKDrJVLhlA=s800-c-k-c0x00ffffff-no-rj
